_Type_,_Parent Path_,Name,Status,Created by,Created on,Modified by,Modified on,Description
Category,,Compute,APPROVED,ocid1.user.oc1..aaaaaaaas2mhxuyji2xsogpa5zif7ut4lgsl7hwpnbshn2flunsca3b5pulq,2020-10-27T08:52:28.312Z,ocid1.user.oc1..aaaaaaaaj7sffe6j52m4ojvbzeex2nlachgrttxn36qh2agfrmdoubcvbvkq,2021-06-01T05:37:28.001Z,This contains information regarding compute instances and the data extracted and organised
Category,Compute,Attachment Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:52:48.961Z,ocid1.user.oc1..aaaaaaaaj7sffe6j52m4ojvbzeex2nlachgrttxn36qh2agfrmdoubcvbvkq,2021-06-01T06:52:52.925Z,
Category,Compute,Detail Fact,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:58:13.924Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:00:55.001Z,Captures measures in terms of core-hours.
Category,Compute,Host Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:10:53.883Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:27.382Z,All hosts (BM and Hypervisor) in Compute control plane
Category,Compute,HyperVisor Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:12:55.843Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:27.418Z,This captures all hypervisor instances
Category,Compute,Image Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:12:25.734Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:27.830Z,This captures OS Images
Category,Compute,Instance Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:30:29.412Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:12:17.224Z,"All instances (BM, VM, hypervisor) are captured in this table. There are 3 types of data: 1 BM - Bare metal instances. server_key maps to host_key in compute_host_dim. Hypervisor instances are considered BM instances in this table 2 SLOT - instances launched on legacy slots. server_key maps to capacity_key in compute_vm_capacity_dim 3 BIN - instances launched on bin-packing capacity. server_key maps to attachment_key in compute_attachment_dim"
Category,Compute,Pool Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:31:47.758Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:12:17.642Z,Used for capacity reporting by pool name by the Compute team
Category,Compute,Shape Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:31:16.984Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:28.782Z,This captures all hardware/VM shapes
Category,Compute,Shape Family Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:33:15.959Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:28.805Z,This captures shape family and applies only to bin-packing capacity
Category,Compute,State Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:32:18.769Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:37:28.827Z,This has all compute states and is used to define capacity categories
Category,Compute,VM Capacity Dim,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T12:13:34.939Z,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:12:16.663Z,This catures two types of capacity: 1 VM_CAPACITY_TYPE='SLOT' - legacy slot capacity 2 VM_CAPACITY_TYPE='BIN' - unused bin-packing capacity
Term,Compute/Attachment Dim,Attachment Key,NEW,SystemAdmin,2020-10-27T12:56:49.165Z,SystemAdmin,2021-06-01T06:52:53.240Z,
Term,Compute/Attachment Dim,Attachment Number,NEW,SystemAdmin,2020-10-27T12:56:49.215Z,SystemAdmin,2021-06-01T06:52:53.285Z,
Term,Compute/Attachment Dim,Capacity Key,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:12:16.862Z,SystemAdmin,2021-06-01T06:52:53.333Z,
Term,Compute/Attachment Dim,Instance Key,NEW,SystemAdmin,2020-10-27T12:56:50.581Z,SystemAdmin,2021-06-01T06:52:53.386Z,
Term,Compute/Attachment Dim,Reserved Cores,NEW,SystemAdmin,2020-10-27T12:56:51.445Z,SystemAdmin,2021-06-01T06:52:53.433Z,
Term,Compute/Detail Fact,Availability Domain,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:48:24.922Z,SystemAdmin,2021-06-01T06:52:53.482Z,
Term,Compute/Detail Fact,Cores,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:51:21.188Z,SystemAdmin,2021-06-01T05:41:18.299Z,server_type='VM' in bin-packing model: remaining cores on a capacity partition others: cores on host or slot
Term,Compute/Detail Fact,Hardware Shape,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:49:34.033Z,SystemAdmin,2021-06-01T05:41:18.359Z,Shape of host
Term,Compute/Detail Fact,Hypervisor Key,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:50:14.218Z,SystemAdmin,2021-06-01T05:41:18.416Z,References 'Hypervisor Dim'
Term,Compute/Detail Fact,Image Key,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:52:25.663Z,SystemAdmin,2021-06-01T05:41:18.474Z,References 'Image Dim'
Term,Compute/Detail Fact,Instance Key,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:50:51.828Z,SystemAdmin,2021-06-01T05:41:18.533Z,References 'Instance Dim'
Term,Compute/Detail Fact,Record Date,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:48:00.263Z,SystemAdmin,2021-06-01T05:41:18.589Z,Timestamp for snapshots
Term,Compute/Detail Fact,Region,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:48:13.435Z,SystemAdmin,2021-06-01T06:52:53.795Z,
Term,Compute/Detail Fact,Server Key,NEW,ocid1.user.oc1..aaaaaaaamhggtwskrk52svryfgcq6yqpzkeb4ovjkmbkgslfuj7ygivb6y6a,2020-10-27T13:48:59.777Z,SystemAdmin,2021-06-01T05:41:18.706Z,"server_type='BM': references host_key in compute_host_dim server_type='VM': references capacity_key in compute_vm_capacity_dim server_type='VMI': references attachment_key in compute_attachment_dim server_type in ('HV', 'SI'): references hypervisor_key in compute_hypervisor_dim"
